Label,Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeEducation,AgeMoneyly,IntoAge,Satisfaction,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
0,1,1,4,77,1,2,3,2,1,2,3,3,1,7,2,4,7,5,0,7,10.81081081081081,323,30,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,1,4,1245,4,3,3,2,7,2,3,1,1,33,2,1,5,4,1,4,7.407407407407407,583,21,8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,1,7,3,147,1,1,3,2,1,2,4,4,0,9,3,3,9,7,0,6,8.823529411764707,178,25,8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1026,4,2,4,2,1,2,3,3,1,21,3,3,21,6,11,8,2.5641025641025643,653,18,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,1,1,3,1111,1,2,2,2,1,2,3,1,2,1,2,3,1,0,0,0,10.714285714285714,185,27,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,1,4,1,1445,4,3,3,2,1,2,3,3,2,5,3,3,5,4,0,3,4.166666666666667,520,19,10,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,9,5,455,2,2,4,2,0,2,3,3,0,4,2,3,3,2,2,2,17.24137931034483,274,25,9,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,1,2,2,513,2,2,3,2,1,2,3,2,2,10,2,3,10,9,9,0,5.555555555555555,422,26,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,4,4,305,3,2,2,2,6,2,4,4,0,7,3,3,3,2,1,1,12.121212121212121,158,26,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,1,2,4,1383,3,3,4,2,1,2,3,4,0,14,2,4,14,11,4,11,11.764705882352942,590,20,11,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
